date,metric,avg,total,count
2022-05-06,Sleep,,0.0,2
2022-05-06,Steps,207.76190476190476,4363.0,21
2022-05-07,Sleep,,0.0,3
2022-05-07,Steps,113.80434782608695,5235.0,46
2022-05-08,Sleep,,0.0,12
2022-05-08,Steps,191.53571428571428,5363.0,28
2022-05-09,Sleep,,0.0,2
2022-05-09,Steps,117.51020408163265,5758.0,49
2022-05-10,Sleep,,0.0,4
2022-05-10,Steps,118.88372093023256,5112.0,43
2022-05-11,Sleep,,0.0,5
2022-05-11,Steps,177.5,6390.0,36
2022-05-12,Sleep,,0.0,3
2022-05-12,Steps,130.63888888888889,4703.0,36
2022-05-13,Sleep,,0.0,2
2022-05-13,Steps,150.80357142857142,8445.0,56
2022-05-14,Sleep,,0.0,1
2022-05-14,Steps,210.05263157894737,7982.0,38
2022-05-15,Sleep,,0.0,3
2022-05-15,Steps,141.8148148148148,3829.0,27
2022-05-16,Sleep,,0.0,1
2022-05-16,Steps,144.97674418604652,6234.0,43
2022-05-17,Sleep,,0.0,4
2022-05-17,Steps,173.51162790697674,7461.0,43
2022-05-18,Sleep,,0.0,3
2022-05-18,Steps,98.45238095238095,4135.0,42
2022-05-19,Sleep,,0.0,1
2022-05-19,Steps,87.32,2183.0,25
2022-05-20,Sleep,,0.0,1
2022-05-20,Steps,244.5531914893617,11494.0,47
2022-05-21,Sleep,,0.0,1
2022-05-21,Steps,203.1590909090909,8939.0,44
2022-05-22,Sleep,,0.0,25
2022-05-22,Steps,125.57407407407408,6781.0,54
2022-05-23,Sleep,,0.0,1
2022-05-23,Steps,186.10526315789474,7072.0,38
2022-05-24,Sleep,,0.0,4
2022-05-24,Steps,52.68181818181818,1159.0,22
2022-05-25,Sleep,,0.0,16
2022-05-25,Steps,117.0,3393.0,29
2022-05-26,Sleep,,0.0,2
2022-05-26,Steps,100.84210526315789,3832.0,38
2022-05-27,Sleep,,0.0,4
2022-05-27,Steps,273.9166666666667,13148.0,48
2022-05-28,Steps,101.47368421052632,3856.0,38
2022-05-29,Sleep,,0.0,3
2022-05-29,Steps,80.4054054054054,2975.0,37
2022-05-30,Sleep,,0.0,8
2022-05-30,Steps,209.34375,6699.0,32
2022-05-31,Sleep,,0.0,3
2022-05-31,Steps,85.92,2148.0,25
2022-06-01,Sleep,,0.0,4
2022-06-01,Steps,264.4074074074074,7139.0,27
2022-06-02,Sleep,,0.0,2
2022-06-02,Steps,130.66666666666666,3136.0,24
2022-06-03,Sleep,,0.0,7
2022-06-03,Steps,315.6,14202.0,45
2022-06-04,Sleep,,0.0,1
2022-06-04,Steps,181.06666666666666,5432.0,30
2022-06-05,Sleep,,0.0,1
2022-06-05,Steps,215.03846153846155,5591.0,26
2022-06-06,Sleep,,0.0,1
2022-06-06,Steps,184.86111111111111,6655.0,36
2022-06-07,Sleep,,0.0,4
2022-06-07,Steps,98.30555555555556,3539.0,36
2022-06-08,Sleep,,0.0,3
2022-06-08,Steps,112.1470588235294,3813.0,34
2022-06-09,Sleep,,0.0,5
2022-06-09,Steps,134.3,5372.0,40
2022-06-10,Sleep,,0.0,14
2022-06-10,Steps,186.61111111111111,10077.0,54
2022-06-11,Sleep,,0.0,1
2022-06-11,Steps,130.25,5210.0,40
2022-06-12,Sleep,,0.0,2
2022-06-12,Steps,134.9142857142857,4722.0,35
2022-06-13,Sleep,,0.0,1
2022-06-13,Steps,345.5769230769231,17970.0,52
2022-06-14,Sleep,,0.0,3
2022-06-14,Steps,291.9375,14013.0,48
2022-06-15,Sleep,,0.0,9
2022-06-15,Steps,232.390243902439,9528.0,41
2022-06-16,Sleep,,0.0,57
2022-06-16,Steps,132.36363636363637,5824.0,44
2022-06-17,Sleep,,0.0,5
2022-06-17,Steps,212.02325581395348,9117.0,43
2022-06-18,Sleep,,0.0,4
2022-06-18,Steps,84.4375,2702.0,32
2022-06-19,Sleep,,0.0,19
2022-06-19,Steps,177.90625,5693.0,32
2022-06-20,Sleep,,0.0,2
2022-06-20,Steps,163.88571428571427,5736.0,35
2022-06-21,Sleep,,0.0,6
2022-06-21,Steps,162.33333333333334,6331.0,39
2022-06-22,Sleep,,0.0,1
2022-06-22,Steps,138.35714285714286,3874.0,28
2022-06-23,Sleep,,0.0,2
2022-06-23,Steps,86.56410256410257,3376.0,39
2022-06-24,Sleep,,0.0,14
2022-06-24,Steps,156.07692307692307,4058.0,26
2022-06-25,Sleep,,0.0,10
2022-06-25,Steps,86.11111111111111,3875.0,45
2022-06-26,Sleep,,0.0,4
2022-06-26,Steps,295.70212765957444,13898.0,47
2022-06-27,Sleep,,0.0,4
2022-06-27,Steps,167.0,6179.0,37
2022-06-28,Sleep,,0.0,2
2022-06-28,Steps,208.41860465116278,8962.0,43
2022-06-29,Sleep,,0.0,4
2022-06-29,Steps,135.9655172413793,3943.0,29
2022-06-30,Sleep,,0.0,10
2022-06-30,Steps,105.73529411764706,3595.0,34
2022-07-01,Sleep,,0.0,12
2022-07-01,Steps,77.5625,3723.0,48
2022-07-02,Sleep,,0.0,4
2022-07-02,Steps,111.28571428571429,3116.0,28
2022-07-03,Sleep,,0.0,4
2022-07-03,Steps,135.2,3380.0,25
2022-07-04,Sleep,,0.0,6
2022-07-04,Steps,151.6315789473684,5762.0,38
2022-07-05,Sleep,,0.0,5
2022-07-05,Steps,147.52631578947367,5606.0,38
2022-07-06,Sleep,,0.0,1
2022-07-06,Steps,100.4054054054054,3715.0,37
2022-07-07,Sleep,,0.0,3
2022-07-07,Steps,163.66666666666666,5892.0,36
2022-07-08,Sleep,,0.0,3
2022-07-08,Steps,165.26315789473685,6280.0,38
2022-07-09,Sleep,,0.0,2
2022-07-09,Steps,133.34375,4267.0,32
2022-07-10,Sleep,,0.0,4
2022-07-10,Steps,164.19230769230768,4269.0,26
2022-07-11,Sleep,,0.0,4
2022-07-11,Steps,138.25581395348837,5945.0,43
2022-07-12,Sleep,,0.0,2
2022-07-12,Steps,149.25531914893617,7015.0,47
2022-07-13,Sleep,,0.0,3
2022-07-13,Steps,103.33333333333333,4030.0,39
2022-07-14,Sleep,,0.0,9
2022-07-14,Steps,68.42857142857143,2395.0,35
2022-07-15,Steps,156.74193548387098,4859.0,31
2022-07-16,Sleep,,0.0,8
2022-07-16,Steps,110.48717948717949,4309.0,39
2022-07-17,Sleep,,0.0,19
2022-07-17,Steps,204.32608695652175,9399.0,46
2022-07-18,Sleep,,0.0,1
2022-07-18,Steps,57.945945945945944,2144.0,37
2022-07-19,Sleep,,0.0,19
2022-07-19,Steps,121.76190476190476,5114.0,42
2022-07-20,Sleep,,0.0,6
2022-07-20,Steps,111.06666666666666,3332.0,30
2022-07-21,Sleep,,0.0,5
2022-07-21,Steps,149.48648648648648,5531.0,37
2022-07-22,Sleep,,0.0,9
2022-07-22,Steps,37.85,757.0,20
2022-07-23,Sleep,,0.0,7
